year;url;name;bold_colors;main_color;typo;busy;picture;pattern;color_block;size;centered;swiss;newspapperlayout;colorful
1995;url(./Img/95_sbb.png);95_sbb.png;true;grey;true;true;true;true;false;small;false;true;false;true
1996;url(./Img/96_Guggenheim.png);96_Guggenheim.png;false;white;false;true;true;false;false;small;false;false;false;true
1996;url(./Img/96_annabelle.png);96_annabelle.png;true;lila;false;true;false;true;false;small;false;true;false;true
1996;url(./Img/96_Moma.png);96_Moma.png;true;black;true;false;false;false;false;big;true;false;false;false
1996;url(./Img/96_Nzz.png);96_Nzz.png;false;grey;true;true;true;true;false;small;false;true;true;false
1996;url(./Img/96_IBM.png);96_IBM.png;true;white;true;true;false;false;false;small;false;false;true;true
1996;url(./Img/96_96_Logyx.png);96_Logyx.png;true;salmon;true;true;false;false;false;small;false;false;false;true
1996;url(./Img/96_mcdonald.png);96_mcdonald.png;true;red;true;false;false;false;false;small;false;false;false;true
1996;url(./Img/96_migros.png);96_migros.png;false;white;true;false;true;true;false;small;false;true;false;true
1996;url(./Img/96_rga.png);96_rga.png;true;black;true;false;false;false;false;small;false;false;false;true
1996;url(./Img/96_swiss_air.png);96_swiss_air.png;true;white;true;false;true;false;false;small;true;true;false;true
1997;url(./Img/97_annabell.png);97_annabell.png;true;yellow;true;true;true;false;true;big;false;true;false;true
1997;url(./Img/97_Swatch.png);97_Swatch.png;true;white;false;true;true;false;false;big;false;true;false;true
1997;url(./Img/97_Mtv.png);97_Mtv.png;true;black;true;false;false;false;false;small;false;false;false;true
1997;url(./Img/97_swisscom.png);97_swisscom.png;true;blue;true;true;false;false;false;small;false;true;false;true
1997;url(./Img/97_Apple.png);97_Apple.png;true;white;true;true;false;false;false;big;false;false;true;false
1997;url(./Img/97_coop.png);97_coop.png;true;white;true;false;false;false;false;small;false;true;false;true
1997;url(./Img/97_post.png);97_post.png;true;white;true;true;true;false;false;small;false;true;false;true
1997;url(./Img/97_srf.png);97_srf.png;true;white;true;true;false;false;false;small;false;true;false;true
1998;url(./Img/98_cola.png);98_cola.png;true;yellow;true;true;false;false;false;small;false;false;false;true
1998;url(./Img/98_interdiscount.png);98_interdiscount.png;true;white;true;true;false;true;false;small;false;true;false;true
1998;url(./Img/98_adobe.png);98_adobe.png;true;white;true;true;false;false;false;small;false;false;false;true
1998;url(./Img/98_Apple.png);98_Apple.png;false;white;true;false;true;false;false;small;false;false;false;true
1998;url(./Img/98_google.png);98_google.png;false;white;true;false;false;false;false;small;false;false;false;true
1998;url(./Img/98_Guggeheim.png);98_Guggeheim.png;true;white;true;false;true;false;false;small;false;false;false;true
1998;url(./Img/98_Jordan.png);98_Jordan.png;false;white;true;false;false;false;false;small;false;false;false;true
1998;url(./Img/98_Kunsthaus.png);98_Kunsthaus.png;false;black;true;false;true;false;false;small;false;true;false;true
1998;url(./Img/98_mtv.png);98_mtv.png;true;blue;true;true;false;true;false;small;false;false;false;true
1998;url(./Img/98_swisscom.png);98_swisscom.png;false;white;true;false;false;false;false;small;true;true;false;true
1998;url(./Img/98_whitney.png);98_whitney.png;false;white;true;false;false;false;false;small;false;false;false;true
1999;url(./Img/99_sbb.png);99_sbb.png;true;white;false;true;false;false;true;small;false;true;false;true
1999;url(./Img/99_britney.png);99_britney.png;true;yellow;true;true;true;true;true;big;false;false;false;true
1999;url(./Img/99_cola.pngg);99_cola.png;true;red;false;false;true;false;false;small;false;false;false;true
1999;url(./Img/99_annabelle.png);99_annabelle.png;true;white;true;true;false;true;false;big;false;true;true;true
1999;url(./Img/99_Apple.png);99_Apple.png;false;white;true;false;true;false;false;big;false;false;false;true
1999;url(./Img/99_coop.png);99_coop.png;true;white;true;true;true;false;false;small;false;true;false;true
1999;url(./Img/99_Google.png);99_Google.png;true;white;true;false;false;false;true;big;false;false;false;true
1999;url(./Img/99_ibm.png);99_ibm.png;true;white;true;false;false;false;true;small;false;false;false;true
1999;url(./Img/99_mcDonald.png);99_mcDonald.png;true;white;true;false;false;false;true;small;false;false;false;true
1999;url(./Img/99_Moma.png);99_Moma.png;true;blue;true;false;false;false;false;small;true;false;false;true
1999;url(./Img/99_mtv.png);99_mtv.png;true;black;true;true;true;false;true;small;false;false;true;true
1999;url(./Img/99_Nzz.png);99_Nzz.png;false;white;true;true;false;false;false;small;false;true;true;true
1999;url(./Img/99_Pentagram.png);99_Pentagram.png;false;black;true;false;false;false;false;small;true;false;false;true
1999;url(./Img/99_post.png);99_post.png;true;white;true;true;false;false;true;small;false;true;false;true
1999;url(./Img/99_sbb.png);99_sbb.png;true;white;true;true;false;false;true;small;false;true;false;true
1999;url(./Img/99_whitney.png);99_whitney.png;true;blue;true;true;true;false;true;small;false;false;false;true
1999;url(./Img/99_post.png);99_yahoo.png;true;white;true;true;false;false;false;small;false;false;true;true
2000;url(./Img/2000_adobe.png);2000_adobe.png;true;white;true;true;false;false;false;small;false;false;false;false
2000;url(./Img/2000_amazon.png);2000_amazon.png;true;white;true;true;false;false;false;small;false;false;true;false
2000;url(./Img/2000_amazon.png);2000_annabelle.png;true;white;true;true;false;false;true;small;false;true;true;true
2000;url(./Img/2000_coop.png);2000_coop.png;true;white;true;false;false;false;true;small;false;true;true;false
2000;url(./Img/2000_Google.png);2000_Google.png;true;white;true;false;false;false;true;small;false;false;true;false
2000;url(./Img/2000_mc_donald.png);2000_mc_donald.png;true;white;true;true;true;false;true;small;false;false;true;false
2000;url(./Img/2000_Mtv.png);2000_Mtv.png;true;white;true;true;true;false;false;small;false;false;true;false
2000;url(./Img/2000_newyorker.png);2000_newyorker.png;true;white;true;true;true;false;true;small;false;false;false;true
2000;url(./Img/2000_nike.png);2000_nike.png;true;black;true;true;true;false;false;small;true;false;false;false
2000;url(./Img/2000_sbb.png;2000_sbb.png;true;white;true;true;false;false;true;small;false;true;false;false
2000;url(./Img/2000_vitra.png);2000_vitra.png;true;green;true;false;false;false;true;small;false;false;false;true
